source_id,reference,year,source_type,doi,url,n_solubility,n_watercontent,n_liquidwatercontent,n_mixtures,n_phaseboundaries
curryhazelton1938_co2,"Curry, J.; Hazelton, C.L. (1938). J. Am. Chem. Soc. 60, 2771-2773.",1938,journal,,,4,0,0,0,0
czerskiczaplinski1962_c2c4,"Czerski, L. & Czaplinski, A. (1962). Ann. Soc. Chim. Polonorum 36, 1827-1834. No DOI (pre-index Polish journal; article title not printed in the citing bibliographies).",1962,journal,,,28,0,0,0,0
dalmolin2006_co2,"Dalmolin, I., Skovroinski, E., Biasi, A., et al. (2006). Solubility of carbon dioxide in binary and ternary mixtures with ethanol and water. Fluid Phase Equilib. 245, 193-200. DOI: 10.1016/j.fluid.2006.04.017.",2006,journal,10.1016/j.fluid.2006.04.017,,49,0,0,0,0
danneiltodheidefranck1967_c2c4,"Danneil, A., Tödheide, K. & Franck, E.U. (1967). ""Verdampfungsgleichgewichte und kritische Kurven in den Systemen Äthan/Wasser und n-Butan/Wasser bei hohen Drücken."" Chemie Ingenieur Technik 39(13), 816. DOI 10.1002/cite.330391309.",1967,journal,10.1002/cite.330391309,,14,0,0,0,0
deckwer1980_h2,"Deckwer, W.-D. (1980). J. Chem. Eng. Data 25, 75-76. DOI: 10.1021/je60084a022.",1980,journal,10.1021/je60084a022,,48,0,0,0,0
dedebecker1926_h2s,"Dede, L.; Becker, Th. (1926). Z. anorg. allgem. Chem. 152, 185-196. Data reproduced from IUPAC Solubility Data Series, Vol. 32: Hydrogen Sulfide, Deuterium Sulfide and Hydrogen Selenide (and Hydrogen Telluride) in Water and Aqueous Solutions (Fogg, P.G.T.; Young, C.L., eds.), Pergamon Press, 1988, printed p.40. DOI: 10.1016/b978-0-08-032481-4.50006-8. Original publication details were not independently verified.",1926,compilation,10.1016/b978-0-08-032481-4.50006-8,,10,0,0,0,0
dellera2010_co2,"Dell'Era, C., Uusi-Kyyny, P., Pokki, J.-P., et al. (2010). Solubility of carbon dioxide in aqueous solutions of diisopropanolamine and methyldiethanolamine. Fluid Phase Equilib. 293, 101-109. DOI: 10.1016/j.fluid.2010.02.035.",2010,journal,10.1016/j.fluid.2010.02.035,,1,0,0,0,0
denton1973_c2c4,"Hayduk, W. (ed.) (1986). IUPAC Solubility Data Series Volume 24: Propane, Butane, and 2-Methylpropane. Pergamon Press.",1986,compilation,,,4,0,0,0,0
devaney1978_h2,"DeVaney, W.E. et al. (1978). GPA Research Report RR-30, Gas Processors Association.",1978,report,,,9,0,0,0,0
dewet1964_h2,"Wet, J.A. de (1964). Data reproduced from Chabab, S.; Theveneau, P.; Coquelet, C.; Corvisier, J.; Paricaud, P. (2020). Measurements and predictive models of high-pressure H2 solubility in brine (H2O+NaCl) for underground hydrogen storage application. International Journal of Hydrogen Energy 45, 32206-32220. DOI: 10.1016/j.ijhydene.2020.08.192, Table 1. Original publication details were not independently verified.",1964,compilation,,,3,0,0,0,0
dhima1998_c2c4,"Dhima, A., de Hemptinne, J.-C. & Moracchini, G. (1998). ""Solubility of light hydrocarbons and their mixtures in pure water under high pressure."" Fluid Phase Equilib. DOI 10.1016/s0378-3812(97)00211-2.",1998,journal,10.1016/s0378-3812(97)00211-2,,9,0,0,0,0
dhima1998_ch4,"Dhima, A., de Hemptinne, J.-C. & Moracchini, G. (1998). ""Solubility of light hydrocarbons and their mixtures in pure water under high pressure."" Fluid Phase Equilib. DOI 10.1016/s0378-3812(97)00211-2.",1998,journal,10.1016/s0378-3812(97)00211-2,,4,0,0,31,0
dhima1999_ch4,"Dhima, A., de Hemptinne, J.-C., Jose, J. (1999). Solubility of hydrocarbons and CO2 mixtures in water under high pressure. Ind. Eng. Chem. Res. 38(8), 3144-3161. DOI: 10.1021/ie980768g.",1999,journal,10.1021/ie980768g,,0,0,0,9,0
dhima1999_co2,"Dhima, A., de Hemptinne, J.-C., Jose, J. (1999). Solubility of hydrocarbons and CO2 mixtures in water under high pressure. Ind. Eng. Chem. Res. 38(8), 3144-3161. DOI: 10.1021/ie980768g.",1999,journal,10.1021/ie980768g,,7,0,0,0,0
dohrnbrunner1986_h2,"Dohrn, R., Brunner, G. (1986). Phase Equilibria in Ternary and Quaternary Systems of Hydrogen, Water and Hydrocarbons at Elevated Temperatures and Pressures. Fluid Phase Equilib. 29, 535-544. DOI: 10.1016/0378-3812(86)85052-x.",1986,journal,10.1016/0378-3812(86)85052-x,,29,0,0,0,0
dohrnetal1993_co2,"Dohrn et al., Experimental measurements of phase equilibria for ternary and quaternary systems of glucose, water, CO2 and ethanol with a novel apparatus, Fluid Phase Equilibr., 83, 149-158, 1993. DOI: 10.1016/0378-3812(93)87017-u.",1993,journal,10.1016/0378-3812(93)87017-u,,2,3,0,0,0
dossantos2020_co2,"dos Santos, A.C.D., et al. (2020). J. Chem. Eng. Data 65, 3230. DOI: 10.1021/acs.jced.0c00230.",2020,journal,10.1021/acs.jced.0c00230,,60,0,0,0,0
dossantos2021_co2,"dos Santos, A.C.D., et al. (2021). J. Chem. Eng. Data 66, 4166. DOI: 10.1021/acs.jced.1c00347.",2021,journal,10.1021/acs.jced.1c00347,,39,0,0,0,0
douabulriley1979_h2s,"Douabul, A.A.; Riley, J.P. (1979). [Hydrogen sulfide solubility in seawater]. Deep-Sea Res. 26A, 259-268. [Exact title not printed in SDS-32's short-form reference; Crossref-verified 2026-09-20.] DOI: 10.1016/0198-0149(79)90023-2.",1979,journal,10.1016/0198-0149(79)90023-2,,42,0,0,0,0
douglas1964_n2,"Douglas, E. (1964, 1965). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.3. Original publication details were not independently verified.",1964,compilation,,,68,0,0,0,0
drummond1981_co2,"Drummond, S.E. (1981). Boiling and mixing of hydrothermal fluids: chemical effects on mineral precipitation. Ph.D. Dissertation, Pennsylvania State University, State College, PA.",1981,thesis,,,506,0,0,0,0
drummond1981_h2s,"Drummond, S.E. Jr. (1981). Boiling and Mixing of Hydrothermal Fluids: Chemical Effects on Mineral Precipitation. PhD thesis, Pennsylvania State University (UMI #8112798). Appendix A Table A.2 (H2S-NaCl).",1981,thesis,,,474,0,0,0,0
dryden1947_h2s,"Dryden, I.G.C. (1947). J. Soc. Chem. Ind. 66, 59-64. Data reproduced from IUPAC Solubility Data Series, Vol. 32: Hydrogen Sulfide, Deuterium Sulfide and Hydrogen Selenide (and Hydrogen Telluride) in Water and Aqueous Solutions (Fogg, P.G.T.; Young, C.L., eds.), Pergamon Press, 1988, printed p.46. DOI: 10.1016/b978-0-08-032481-4.50006-8. Original publication details were not independently verified.",1947,compilation,10.1016/b978-0-08-032481-4.50006-8,,24,0,0,0,0
dsouza1988_co2,"D'Souza, R., Patrick, J.R., Teja, A.S. (1988). High pressure phase equilibria in the carbon dioxide-n-hexadecane and carbon dioxide-water systems. Can. J. Chem. Eng. 66(2), 319-323. DOI: 10.1002/cjce.5450660221.",1988,journal,10.1002/cjce.5450660221,,0,4,0,0,0
dsouzaetal1988_co2,"D'Souza, R., Patrick, J.R., Teja, A.S. (1988). High pressure phase equilibria in the carbon dioxide-n-hexadecane and carbon dioxide-water systems. Can. J. Chem. Eng. 66(2), 319-323. DOI: 10.1002/cjce.5450660221.",1988,journal,10.1002/cjce.5450660221,,4,0,0,0,0
duffysmithnagy1961_ch4,"Duffy, J.R., Smith, N.O., Nagy, B., 1961. GCA 24(1-2), 23-31. DOI: 10.1016/0016-7037(61)90004-7.",1961,journal,10.1016/0016-7037(61)90004-7,,71,0,0,0,0
eichelberger1955_n2,"Eichelberger, W.C. (1955). Industrial and Engineering Chemistry 47, 2223-2228. DOI: 10.1021/ie50550a053.",1955,journal,10.1021/ie50550a053,,6,0,0,0,0
ellis1959_co2,"Ellis, A.J. (1959). Am. J. Sci. 257, 217-234. DOI: 10.2475/ajs.257.3.217.",1959,journal,10.2475/ajs.257.3.217,,36,0,0,0,0
ellisgolding1963_co2,"Ellis, A.J.; Golding, R.M. (1963). Am. J. Sci. 261, 47-60. DOI: 10.2475/ajs.261.1.47.",1963,journal,10.2475/ajs.261.1.47,,54,0,0,0,0
elmaghraby2012_co2,"El-Maghraby, R.M., Pentland, C.H., Iglauer, S., Blunt, M.J. (2012). A fast method to equilibrate carbon dioxide with brine at high pressure and elevated temperature including solubility measurements. The Journal of Supercritical Fluids 62, 55-59. DOI: 10.1016/j.supflu.2011.11.002.",2012,journal,10.1016/j.supflu.2011.11.002,,8,0,0,0,0
ennsscholanderbradstreet1965_n2,"Enns, T., Scholander, P.F., Bradstreet, E.D. (1965). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.1 (data sheet, p.69). Original publication details were not independently verified.",1965,compilation,,,0,12,0,0,0
euckenhertzberg1950_c2c4,"Eucken, A.; Hertzberg, G. (1950). ""Aussalzeffekt und Ionenhydratation."" Z. Phys. Chem. 195(1), 1-23. DOI 10.1515/zpch-1950-19502",1950,journal,10.1515/zpch-1950-19502,,8,0,0,0,0
euckenhertzberg1950_ch4,"Eucken, A., Hertzberg, G., 1950. Z. Phys. Chem. 195, 1-23. DOI: 10.1515/zpch-1950-19502.",1950,journal,10.1515/zpch-1950-19502,,7,0,0,0,0
farhihommaedwards1963_n2,"Farhi, L.E., Homma, T., Edwards, A.W.T. (1963). Journal of Applied Physiology 18(1), 97-106.",1963,journal,,,6,0,0,0,0
feillolaylucas1972_ch4,"Feillolay, A., Lucas, M., 1972. J. Phys. Chem. 76, 3068-3072. DOI: 10.1021/j100665a028.",1972,journal,10.1021/j100665a028,,5,0,0,0,0
findlaycreighton1910_co2,"Findlay, A.; Creighton, H.J.M. (1910). J. Chem. Soc. 97, 536-561. DOI: 10.1039/ct9109700536.",1910,journal,10.1039/ct9109700536,,10,0,0,0,0
findlayhowell1915_co2,"Findlay, A.; Howell, O.R. (1915). J. Chem. Soc. 107, 282-284. DOI: 10.1039/ct9150700282.",1915,journal,10.1039/ct9150700282,,18,0,0,0,0
findlayshen1912_co2,"Findlay, A.; Shen, B. (1912). J. Chem. Soc. 101, 1459-1468. DOI: 10.1039/ct9120101459.",1912,journal,10.1039/ct9120101459,,12,0,0,0,0
findlayshen1912_h2,"Findlay, A., Shen, B. (1912). CLVI.-The influence of colloids and fine suspensions on the solubility of gases in water. Part II. Solubility of carbon dioxide and of hydrogen. J. Chem. Soc., Trans. 101, 1459-1468. DOI: 10.1039/ct9120101459.",1912,journal,10.1039/ct9120101459,,12,0,0,0,0
findlaywilliams1913_co2,"Findlay, A.; Williams, T. (1913). J. Chem. Soc. 103, 636-644. DOI: 10.1039/ct9130300636.",1913,journal,10.1039/ct9130300636,,10,0,0,0,0
foltran2015_n2,"Foltran, S., Vosper, M.E., Suleiman, N.B., Wriglesworth, A., Ke, J., Drage, T.C., Poliakoff, M., George, M.W. (2015). Understanding the solubility of water in carbon capture and storage mixtures: an FTIR spectroscopic study of H2O+CO2+N2 ternary mixtures. International Journal of Greenhouse Gas Control 35, 131-137. DOI: 10.1016/j.ijggc.2015.02.002.",2015,journal,10.1016/j.ijggc.2015.02.002,,0,14,0,0,0
fonseca2007_co2,"Fonseca, I.M.A., Almeida, J.P.B., Fachada, H.C. (2007). Automated apparatus for gas solubility measurements. J. Chem. Thermodyn. 39, 1407-1411. DOI: 10.1016/j.jct.2007.05.013.",2007,journal,10.1016/j.jct.2007.05.013,,14,0,0,0,0
forte2013_c2c4,"Forte, E. et al. (2013). [Multiphase equilibria of the propane + carbon dioxide + water system at reservoir conditions]. J. Supercrit. Fluids 75, 79-90. DOI 10.1016/j.supflu.2012.12.012.",2013,journal,10.1016/j.supflu.2012.12.012,,0,0,0,56,0
fox1909_n2,"Fox, C.J.J. (1909). Transactions of the Faraday Society 5, 68-87. Seawater/chlorinity leg of the same paper as fox1909_water.",1909,journal,,,72,0,0,0,0
frolich1931_n2,"Frölich, P.K., Tauch, E.J., Hogan, J.J., Peer, A.A. (1931). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §2.1 (ref. 14). Original publication details were not independently verified.",1931,compilation,,,5,0,0,0,0
gamsjaeger1967_h2s,"Gamsjaeger, H.; Rainer, W.; Schindler, P. (1967). Loeslichkeitskonstanten und freie Bildungsenthalpien von Metallsulfiden, 4. Mitt.: Die Loeslichkeit von H2S in HClO4-NaClO4-H2O-Mischungen. Monatsh. Chem. 98(5), 1793-1802. DOI: 10.1007/bf01167137. [Cited page range 1782-1802 vs Crossref-verified 1793-1802 -- flagged, not resolved.]",1967,journal,10.1007/bf01167137,,1,0,0,0,0
gamsjagerrainerschindler1967_h2s,"Gamsjaeger, H.; Rainer, W.; Schindler, P. (1967). Loeslichkeitskonstanten und freie Bildungsenthalpien von Metallsulfiden, 4. Mitt.: Die Loeslichkeit von H2S in HClO4-NaClO4-H2O-Mischungen. Monatsh. Chem. 98(5), 1793-1802. DOI: 10.1007/bf01167137. [Cited page range 1782-1802 vs Crossref-verified 1793-1802 -- flagged, not resolved.]",1967,journal,10.1007/bf01167137,,24,0,0,0,0
gamsjagerschindler1969_h2s,"Gamsjaeger, H.; Schindler, P. (1969). Loeslichkeiten und Aktivitaetskoeffizienten von H2S in Elektrolytmischungen. Helv. Chim. Acta 52(6), 1395-1402. DOI: 10.1002/hlca.19690520603.",1969,journal,10.1002/hlca.19690520603,,5,0,0,0,0
gao1997_ch4,"Gao, J., Zheng, D.-Q., Guo, T.-M., 1997. J. Chem. Eng. Data. DOI: 10.1021/je960275n.",1997,journal,10.1021/je960275n,,77,0,0,42,0
gao1997_co2,"Gao, J., Zheng, D.-Q., Guo, T.-M., 1997. Solubilities of Methane, Nitrogen, Carbon Dioxide, and a Natural Gas Mixture in Aqueous Sodium Bicarbonate Solutions under High Pressure and Elevated Temperature. J. Chem. Eng. Data 42(1), 69-73. DOI: 10.1021/je960275n.",1997,journal,10.1021/je960275n,,84,0,0,0,0
gao1997_n2,"Gao, W., Zheng, D.-Q., Guo, T.-M. (1997). Solubilities of Methane, Nitrogen, Carbon Dioxide, and a Natural Gas Mixture in Aqueous Sodium Bicarbonate Solutions under High Pressure and Elevated Temperature. Journal of Chemical and Engineering Data 42(1), 69-73. DOI: 10.1021/je960275n.",1997,journal,10.1021/je960275n,,60,0,0,21,0
gaudetteservio2007_c2c4,"Gaudette, J.; Servio, P. (2007). Measurement of dissolved propane in water in the presence of gas hydrate. J. Chem. Eng. Data 52(4), 1449-1451. DOI 10.1021/je7001286.",2007,journal,10.1021/je7001286,,13,0,0,0,0
geffcken1904_h2,"Geffcken, G. (1904). Z. Phys. Chem. 49, 257-302. DOI: 10.1515/zpch-1904-4925.",1904,journal,10.1515/zpch-1904-4925,,13,0,0,0,0
gehriglentzfranck1986_co2,"Gehrig, M.; Lentz, H.; Franck, E.U. (1986). The System Water-Carbon Dioxide-Sodium Chloride to 773 K and 300 MPa. Ber. Bunsenges. Phys. Chem. 90(6), 525-533. DOI: 10.1002/bbpc.19860900606.",1986,journal,10.1002/bbpc.19860900606,,0,0,0,0,114
gerecke1969_co2,Gerecke (1969),1969,journal,,,38,0,0,0,0
gerecke1969_h2,"Gerecke, J. (1969). PhD dissertation; data reproduced in Gerecke, J.; Bittrich, H.-J. (1971), Wiss. Z. Tech. Hochsch. Chemie Leuna-Merseburg 13, 115-122 and 313-321. The secondary source does not report the dissertation title or institution.",1969,thesis,,,7,0,0,0,0
gereckebittrich1971_h2,"Gerecke, J., Bittrich, H.-J. (1971). Data reproduced from Chabab, S.; Theveneau, P.; Coquelet, C.; Corvisier, J.; Paricaud, P. (2020). Measurements and predictive models of high-pressure H2 solubility in brine (H2O+NaCl) for underground hydrogen storage application. International Journal of Hydrogen Energy 45, 32206-32220. DOI: 10.1016/j.ijhydene.2020.08.192, Table 2. Original publication details were not independently verified.",1971,compilation,,,23,0,0,0,0
gerrard1972_h2s,"Gerrard, W. (1972). ""Solubility of Hydrogen Sulphide, Dimethyl Ether, Methyl Chloride and Sulphur Dioxide in Liquids. The Prediction of Solubility of All Gases."" J. Appl. Chem. Biotechnol. 22(5), 623-650. DOI 10.1002/jctb.2720220509 (the LIVE DOI, confirmed from page-1 text; its Crossref twin 10.1002/jctb.5020220509 is a DEAD duplicate",1972,journal,10.1002/jctb.2720220509,,3,0,0,0,0
gilbert2016_co2,"Gilbert, K.; Bennett, P.C.; Wolfe, W.; Zhang, T.; Romanak, K.D. (2016). Appl. Geochem. 67, 59-67. DOI 10.1016/j.apgeochem.2016.02.002.",2016,journal,10.1016/j.apgeochem.2016.02.002,,38,0,0,0,0
gillespieetal1982_co2,"Gillespie, P.C., Wilson, G.M. (1982). Vapor-liquid and liquid-liquid equilibria: water-methane, water-carbon dioxide, water-hydrogen sulfide, water-n-pentane, water-methane-n-pentane. GPA Research Report RR-48, Gas Processors Association, Tulsa, OK.",1982,report,,,6,0,0,0,0
gillespiewilson1980_h2,"Gillespie, P.C., Wilson, G.M. (1980). Vapor-Liquid Equilibrium Data on Water-Substitute Gas Components: N2-H2O, H2-H2O, CO-H2O, H2-CO-H2O, and H2S-H2O. GPA Research Report RR-41, Gas Processors Association, Tulsa, OK (Project 758-B-79, Wilco Research Company). OSTI 10.2172/6782591.",1980,report,10.2172/6782591,,18,18,0,0,0
gillespiewilson1980_n2,"Gillespie, P.C., Wilson, G.M. (1980). Vapor-Liquid Equilibrium Data on Water-Substitute Gas Components: N2-H2O, H2-H2O, CO-H2O, H2-CO-H2O, and H2S-H2O. GPA Research Report RR-41. DOI: 10.2172/6782591.",1980,report,10.2172/6782591,,16,16,0,0,0
goodmankrase1931_n2,"Goodman, J.B., Krase, N.W. (1931). Solubility of nitrogen in water at high pressures and temperatures. Industrial and Engineering Chemistry 23(4), 401-404. DOI: 10.1021/ie50256a015.",1931,journal,10.1021/ie50256a015,,28,0,0,0,0
gordoncohenstandley1977_h2,"Gordon, L.I., Cohen, Y., Standley, D.R. (1977). Deep Sea Research 24(10), 937-941. DOI: 10.1016/0146-6291(77)90563-x.",1977,journal,10.1016/0146-6291(77)90563-x,,40,0,0,0,0
gparr41h2stable5_h2s,"Gillespie, P.C.; Wilson, G.M. (1980). Vapor-Liquid Equilibrium Data on Water-Substitute Gas Components: N2-H2O, H2-H2O, CO-H2O, H2-CO-H2O, and H2S-H2O. GPA Research Report RR-41. Project 758-B-79, Wilco Research Co., Provo, UT.",1980,report,,,17,0,0,0,0
guo2014_co2,"Guo, H., Chen, Y., Hu, Q., et al. (2014). Quantitative Raman spectroscopic investigation of geo-fluids high-pressure phase equilibria: Part I. Accurate calibration and determination of CO2 solubility in water from 273.15 to 573.15 K and from 10 to 120 MPa. Fluid Phase Equilib. 382, 70-79. DOI: 10.1016/j.fluid.2014.08.032.",2014,journal,10.1016/j.fluid.2014.08.032,,131,0,0,0,0
guo2016_co2,"Guo, H., et al. (2016). J. Chem. Eng. Data 61, 466. DOI: 10.1021/acs.jced.5b00651.",2016,journal,10.1021/acs.jced.5b00651,,180,0,0,0,0
haehnel1920_co2,"Hähnel, O. (1920). Centralblatt für Mineralogie, Geologie und Paläontologie, Jahrgang 1920, pp. 25-32. (formerly catalogued as ""Höhnel"" - transcription error; corrected 2026-07-21.)",1920,journal,,,21,0,0,0,0
haghtalab2015_co2,"Haghtalab, A., Mohammadi, M., Fakhroueian, Z. (2015). Absorption and solubility measurement of CO2 in water-based ZnO and SiO2 nanofluids. Fluid Phase Equilib. 392, 33-42. DOI: 10.1016/j.fluid.2015.02.012.",2015,journal,10.1016/j.fluid.2015.02.012,,33,0,0,0,0
hammeemerson2004_n2,"Hamme, R.C., Emerson, S.R. (2004). The solubility of neon, nitrogen and argon in distilled water and seawater. Deep-Sea Research I 51(11), 1517-1528. DOI: 10.1016/j.dsr.2004.06.009.",2004,journal,10.1016/j.dsr.2004.06.009,,14,0,0,0,0
han2011_co2,"Han, X., Yu, Z., Qu, J., et al. (2011). Measurement and correlation of solubility data for CO2 in NaHCO3 aqueous solution. J. Chem. Eng. Data 56(4), 1213-1219. DOI: 10.1021/je1011168.",2011,journal,10.1021/je1011168,,77,0,0,0,0
hantzschvagt1901_co2,"Hantzsch, A.; Vagt, A. (1901). Z. Phys. Chem. 38, 705-740. DOI: 10.1515/zpch-1901-3841.",1901,journal,10.1515/zpch-1901-3841,,8,0,0,0,0
harneddavis1943_co2,"Harned, H.S.; Davis, R., Jr. (1943). J. Am. Chem. Soc. 65, 2030-2037. DOI: 10.1021/ja01250a059.",1943,journal,10.1021/ja01250a059,,110,0,0,0,0
hartono2008_co2,"Hartono, A., Juliussen, O., Svendsen, H.F. (2008). Solubility of N2O in Aqueous Solution of Diethylenetriamine. J. Chem. Eng. Data 53, 2696-2700. DOI: 10.1021/je800409d.",2008,journal,10.1021/je800409d,,15,0,0,0,0
hassanpouryouzband2019_co2,"Hassanpouryouzband, A.; Joonaki, E.; Edlmann, K.; Heinemann, N.; Yang, J. (2019). ""Thermodynamic and Transport Properties of Hydrogen Containing Streams"" / ""Solubility of Flue Gas or Carbon Dioxide-Nitrogen Gas Mixtures in Water and Aqueous Solutions of Salts."" Ind. Eng. Chem. Res., DOI 10.1021/acs.iecr.8b04352 -- SUPPORTING INFORMATION.",2019,journal,10.1021/acs.iecr.8b04352,,244,0,0,0,0
hassanpouryouzband2019_n2,"Hassanpouryouzband, A., Vasheghani Farahani, M., Yang, J., Tohidi, B., Chuvilin, E., Istomin, V., Bukhanov, B. (2019). Solubility of Flue Gas or Carbon Dioxide-Nitrogen Gas Mixtures in Water and Aqueous Solutions of Salts: Experimental Measurement and Thermodynamic Modeling. Industrial & Engineering Chemistry Research 58(8), 3377-3394. DOI: 10.1021/acs.iecr.8b04352.",2019,journal,10.1021/acs.iecr.8b04352,,0,0,0,208,0
hawkinsshilling1936_n2,"Hawkins, J.A., Shilling, C.W. (1936). Journal of Biological Chemistry 113, 273-279.",1936,journal,,,7,0,0,0,0
hayashi2014_ch4,"Hayashi, Y., 2014. Direct Measurement of Solubility of Methane and Carbon Dioxide in High Pressure Water Using Gas Chromatography. J. Japan Petroleum Institute 57(3), 125-132. DOI: 10.1627/jpi.57.125.",2014,journal,10.1627/jpi.57.125,,5,0,0,10,0
hayashi2014_co2,"Hayashi, Y., 2014. Direct Measurement of Solubility of Methane and Carbon Dioxide in High Pressure Water Using Gas Chromatography. J. Japan Petroleum Institute 57(3), 125-132. DOI: 10.1627/jpi.57.125.",2014,journal,10.1627/jpi.57.125,,4,0,0,0,0
hemorse1993_co2,"He, S.; Morse, J.W. (1993). Geochim. Cosmochim. Acta 57, 3533-3554. DOI: 10.1016/0016-7037(93)90137-l.",1993,journal,10.1016/0016-7037(93)90137-l,,31,0,0,0,0
hoballah2017_co2,"Hoballah, R. (2017). On the Solubility of Acid and Sour Gases in Water and Brines Under Reservoir Conditions. PhD Thesis, Imperial College London. DOI: 10.25560/61397.",2017,thesis,10.25560/61397,,29,0,0,0,0
hou2013_co2,"Hou, S.-X., Maitland, G.C., Trusler, J.P.M. (2013). Phase equilibria of (CO2+H2O+NaCl) and (CO2+H2O+KCl): Measurements and modeling. J. Supercrit. Fluids 78, 78-88. DOI: 10.1016/j.supflu.2013.03.022.",2013,journal,10.1016/j.supflu.2013.03.022,,114,104,0,0,0
hou2015_co2,"Hou, D.; Luo, P.; et al. (2015). J. Jilin Univ. (Earth Sci.) 45(2), 564-572. DOI: 10.13278/j.cnki.jjuese.201502205.",2015,journal,10.13278/j.cnki.jjuese.201502205,,154,0,0,0,0
howlader2017_co2,"Howlader, M.S., French, W.T., Toghiani, H., et al. (2017). Measurement and correlation of solubility of carbon dioxide in triglycerides. J. Chem. Thermodyn. 104, 252-260. DOI: 10.1016/j.jct.2016.09.035.",2017,journal,10.1016/j.jct.2016.09.035,,16,0,0,0,0
huang1985_h2s,"Huang, S.S.-S.; Leu, A.-D.; Ng, H.-J.; Robinson, D.B. (1985). The Phase Behavior of Two Mixtures of Methane, Carbon Dioxide, Hydrogen Sulfide, and Water. Fluid Phase Equilibria 19(1-2), 21-32. DOI: 10.1016/0378-3812(85)85033-0.",1985,journal,10.1016/0378-3812(85)85033-0,,0,0,0,72,23
hufner1907_h2,"Hüfner, G. (1907). Data reproduced from Chabab, S.; Theveneau, P.; Coquelet, C.; Corvisier, J.; Paricaud, P. (2020). Measurements and predictive models of high-pressure H2 solubility in brine (H2O+NaCl) for underground hydrogen storage application. International Journal of Hydrogen Energy 45, 32206-32220. DOI: 10.1016/j.ijhydene.2020.08.192, Table 1. Original publication details were not independently verified.",1907,compilation,10.1515/zpch-1907-5733,,4,0,0,0,0
hufner1907_n2,"Hufner, G. (1907). Zeitschrift fur Physikalische Chemie 57(5), 611-624. DOI: 10.1515/zpch-1907-5733.",1907,journal,10.1515/zpch-1907-5733,,5,0,0,0,0
ipatev1934_h2,"Ipatev, V.V., Teodorovich, V.P. (1934). Equilibrium compositions of vapor-gas mixtures over solutions. Zhurnal Obshchei Khimii 4, 395-399.",1934,journal,,,21,0,0,0,0
jacksonbowmanfulton1995_co2,"Jackson, K.; Bowman, L.E.; Fulton, J.L. (1995). Anal. Chem. 67, 2368-2372 (UNVERIFIED). DOI: 10.1021/ac00110a007.",1995,journal,10.1021/ac00110a007,,0,2,0,0,0
jacobsaylor2016_co2,"Jacob, R.; Saylor, B.Z. (2016). Chem. Geol. 424, 86-95. DOI 10.1016/j.chemgeo.2016.01.013.",2016,journal,10.1016/j.chemgeo.2016.01.013,,210,0,0,0,0
japasfranck1985_n2,"Japas, M.L., Franck, E.U. (1985). High Pressure Phase Equilibria and PVT-Data of the Water-Nitrogen System to 673 K and 250 MPa. Berichte der Bunsengesellschaft fuer Physikalische Chemie 89(7), 793-800. DOI: 10.1002/bbpc.19850890714.",1985,journal,10.1002/bbpc.19850890714,,0,0,0,0,107
je400684k_ch4,"Frost, M., Karakatsani, E., von Solms, N., Richon, D., Kontogeorgis, G.M., 2014. Vapor-liquid equilibrium of methane with water and methanol... J. Chem. Eng. Data 59(4), 961-967. DOI: 10.1021/je400684k.",2014,journal,10.1021/je400684k,,22,23,0,0,0
je700134r_ch4,"Abdi, M.A., Hussain, A., Hawboldt, K., Beronich, E., 2007. J. Chem. Eng. Data. DOI: 10.1021/je700134r.",2007,journal,10.1021/je700134r,,4,0,0,0,0
je700473e_ch4,"Qin, J., Rosenbauer, R.J., Duan, Z., 2008. Experimental measurements of vapor-liquid equilibria of the H2O+CO2+CH4 ternary system. J. Chem. Eng. Data 53(6), 1246-1249. DOI: 10.1021/je700473e.",2008,journal,10.1021/je700473e,,7,0,0,0,0
je800074z_ch4,"Kim, Y.S., Lim, B.D., Lee, J.E., Lee, C.S., 2008. J. Chem. Eng. Data. DOI: 10.1021/je800074z.",2008,journal,10.1021/je800074z,,11,0,0,0,0
je900441f_ch4,"Awan, J.A., Thomsen, K., Coquelet, C., Fosbøl, P.L., Richon, D., 2010. J. Chem. Eng. Data. DOI: 10.1021/je900441f.",2010,journal,10.1021/je900441f,,8,0,0,0,0
je9007958_ch4,"Campos, C.E.P.S., Penello, J.R., Pessoa, F.L.P., Uller, A.M.C., 2010. J. Chem. Eng. Data. DOI: 10.1021/je9007958.",2010,journal,10.1021/je9007958,,18,0,0,0,0
jfluid201205024_ch4,"Fonseca, J.M.S., von Solms, N., 2012. Fluid Phase Equilib. DOI: 10.1016/j.fluid.2012.05.024.",2012,journal,10.1016/j.fluid.2012.05.024,,10,0,0,0,0
jfluid201503041_ch4,"Böttger, A., Kamps, A.P.-S., Maurer, G., 2016. Fluid Phase Equilib. DOI: 10.1016/j.fluid.2015.03.041.",2016,journal,10.1016/j.fluid.2015.03.041,,14,0,0,0,0
